id,title,artist,chart_date,chords
3,I Don't Mind,James Brown,1961-07-03,N|N|N|A:min|A:min|C:maj|C:maj|A:min|A:min|C:maj|C:maj|A:min|A:min|C:maj|C:maj|A:min|A:min|C:maj|C:maj|A:min|A:min|C:maj|C:maj|F:maj|F:maj|D:maj|D:maj|G:maj|G:maj|C:maj|C:maj|A:maj|A:maj|C:maj|C:maj|A:maj|A:maj|C:maj|C:maj|F:maj|F:maj|D:maj|D:maj|G:maj|G:maj|C:maj|C:maj|C:maj|A:min|A:min|C:maj|C:maj|A:min|A:min|C:maj|C:maj|F:maj|F:maj|D:maj|D:maj|G:maj|G:maj|C:maj|C:maj|C:maj|A:maj|A:maj|C:maj|C:maj|A:maj|A:maj|C:maj|C:maj|F:maj|F:maj|D:maj|D:maj|G:maj|G:maj|C:maj|C:maj|C:maj|A:min|A:min|C:maj|C:maj|A:min|A:min|C:maj|C:maj|A:min|A:min|N|N|N
4,You've Got A Friend,"Roberta Flack,Donny Hathaway",1971-08-07,N|N|N|Ab:maj|Db:maj/5|Ab:maj|G:hdim7|C:7|C:7|F:min|C:7/5|C:7|F:min|C:7/5|F:min/b3|C:7/5|F:min|Bb:min7|Eb:7|Ab:maj|Ab:maj|G:hdim7|C:7|F:min|C:7/5|F:min/b3|C:7/5|F:min|Bb:min7|C:min7|Eb:11|Eb:maj|Ab:maj|Ab:7|Db:maj|Db:maj|Ab:maj|Ab:maj|Eb:7|Eb:7|Ab:maj|Ab:maj7|Db:maj|Gb:maj|Db:maj|Db:maj7|C:min7|Bb:min7|Ab:maj|Gb:maj(9)|Db:maj|Ab:maj|Ab:maj|Db:maj|Gb:7|F:min7|Bb:min7|Eb:11|Eb:maj|Ab:maj|Ab:7|Db:maj|Db:maj|Ab:maj|Ab:maj|Eb:7|Eb:7|Ab:maj|Ab:maj7|Db:maj|Gb:maj|Db:maj|Db:maj7|C:min7|Bb:min7|Bb:min7|Ab:maj|Db:maj/5|Ab:maj|Db:maj/5|Ab:maj|Db:maj/5|Ab:maj|Db:maj/5|Ab:maj|Db:maj/5|Ab:maj|Db:maj/5|Db:maj/5|N
6,The Rose,Bette Midler,1980-08-02,N|C:5|C:5|C:5|C:5|C:maj|G:maj/3|F:maj/3|G:maj/3|C:maj|C:maj|G:maj/3|F:maj/3|G:maj/3|C:maj|C:maj/7|F:sus2/3|F:maj/3|F:maj/2|G:7|C:maj|G:maj/3|F:maj/3|G:maj|C:maj(9)|C:maj(9)|C:maj(9)|G:maj(9)|F:maj(9)|G:maj|C:maj(9)|C:maj(9)|G:maj(9)|F:maj(9)|G:maj|C:maj(9)|E:min/5|A:min(11)|A:maj(11)/b7|F:maj(9)|G:maj|C:maj(9)|G:maj(9)|F:maj(9)|G:maj|C:maj|C:maj|C:maj|G:maj|F:maj|G:maj|C:maj|C:maj|G:maj|F:maj|G:maj|C:maj|E:min|A:min(11)|F:maj(9)|G:maj(9)|C:maj(9)|G:maj(9)|F:maj(9)|G:maj|C:maj(9)|C:maj(9)|C:maj(9)|C:maj|C:maj|N|N|N
10,An Innocent Man,Billy Joel,1984-03-24,N|C:maj|C:maj|C:maj|C:maj|C:maj|C:maj|C:maj|D:min|D:min|F:maj|G:maj|G:maj|C:maj|C:maj|C:maj|D:min|D:min|F:maj|G:maj|G:maj|C:maj|G:min7|C:maj/5|Bb:maj/5|F:maj|G:maj|C:maj|C:maj|D:min|D:min|F:maj|G:maj|G:maj|C:maj|C:maj|C:maj|D:min|D:min|F:maj|G:maj|G:maj|G:maj|C:maj|F:maj/5|C:maj|C:maj|F:maj/3|G:maj/3|C:maj|F:maj/5|C:maj|C:maj|D:min7|C:maj/3|Bb:maj/5|F:maj|F:maj|Bb:maj/5|F:maj|Bb:maj/5|F:maj|F:maj|G:maj|G:maj/3|G:maj/3|C:maj|C:maj|C:maj|C:maj|C:maj|C:maj|C:maj|D:min|D:min|F:maj|G:maj|G:maj|C:maj|C:maj|C:maj|D:min|D:min|F:maj|G:maj|G:maj|C:maj|G:min7|C:maj/5|Bb:maj/5|F:maj|G:maj|C:maj|C:maj|D:min|D:min|F:maj|G:maj|G:maj|C:maj|C:maj|C:maj|D:min|D:min|F:maj|G:maj|G:maj|G:maj|C:maj|F:maj/5|C:maj|C:maj|F:maj/3|G:maj/3|C:maj|F:maj/5|C:maj|C:maj|D:min7|C:maj/3|Bb:maj/5|F:maj|F:maj|Bb:maj/5|F:maj|Bb:maj/5|F:maj|F:maj|G:maj|G:maj/3|C:maj|F:maj/5|C:maj|C:maj|F:maj/3|G:maj/3|C:maj|F:maj/5|C:maj|C:maj|D:min7|C:maj/3|G:min7|C:maj/5|Bb:maj/5|F:maj|G:maj|N|C:maj|C:maj|D:min|D:min|F:maj|G:maj|G:maj|C:maj|C:maj|C:maj|D:min|D:min|F:maj|G:maj|G:maj|G:maj|C:maj|F:maj/5|C:maj|C:maj|F:maj/3|G:maj/3|C:maj|F:maj/5|C:maj|C:maj|D:min7|C:maj/3|Bb:maj/5|F:maj|F:maj|Bb:maj/5|F:maj|Bb:maj/5|F:maj|F:maj|G:maj|G:maj/3|C:maj|F:maj/5|C:maj|C:maj|F:maj/3|G:maj/3|C:maj|F:maj/5|C:maj|C:maj|D:min7|C:maj/3|G:maj|G:maj|G:maj|C:maj|C:maj|C:maj|C:maj|C:maj|N|N|N
12,Lookin' For Love,Johnny Lee,1980-11-15,N|E:min|F#:min|G:maj|A:maj|E:min|F#:min|G:maj|A:maj|A:maj|A:maj|G:maj|G:maj|D:maj|D:maj|G:maj|D:maj|A:maj|A:maj|G:maj|G:maj|D:maj|D:maj|G:maj|D:maj|A:maj|A:maj/b7|A:maj/6|A:maj/5|D:maj|D:maj|F#:min|F#:min|G:maj|G:maj|E:min|F#:maj|G:maj|A:maj|D:maj|D:maj|F#:min|F#:min|G:maj|E:min|A:maj6|D:maj|D:maj|G:maj|G:maj|D:maj|D:maj|G:maj|D:maj|A:maj|A:maj|G:maj|G:maj|D:maj|D:maj|G:maj|D:maj|A:maj|A:maj/b7|A:maj/6|A:maj/5|D:maj|D:maj|F#:min|F#:min|G:maj|G:maj|E:min|F#:maj|G:maj|A:maj|D:maj|D:maj|F#:min|F#:min|G:maj|E:min|A:maj6|D:maj|D:maj|G:maj|G:maj|E:min|F#:min|G:maj|A:maj|A:maj|A:maj|D:maj|D:maj|F#:min|F#:min|G:maj|G:maj|E:min|F#:maj|G:maj|A:maj|D:maj|D:maj|F#:min|F#:min|G:maj|E:min|A:maj6|D:maj|D:maj|F#:min|F#:min|G:maj|G:maj|E:min|F#:maj|G:maj|A:maj|D:maj|D:maj|F#:min|F#:min|G:maj|E:min|A:maj6|D:maj|D:maj|D:maj|N
15,Last Child,Aerosmith,1976-08-07,N|N|N|Db:min(9)|Db:min(9)|Gb:maj6(b7)|Gb:maj6(b7)|Eb:7|Eb:7|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Ab:7|Ab:7|Ab:7|Ab:7|Eb:7(#9)|Eb:7(#9)|Db:maj|Ab:maj|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Ab:7|Ab:7|Ab:7|Ab:7|Eb:7(#9)|Eb:7(#9)|Db:maj|Ab:maj|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Db:maj|Ab:maj|Eb:7(#9)|Eb:7(#9)|Db:maj|Ab:maj|Ab:maj|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|Eb:7(#9)|N|N
16,She Bop,Cyndi Lauper,1984-07-28,N|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|F:maj|F:maj|G:maj|G:maj|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|F:maj|F:maj|G:maj|G:maj|A:min|A:min|A:min|A:min|D:min|D:min|C:maj|F:maj|G:maj|E:7|A:min|A:min|D:min|D:min|C:maj|F:maj|G:maj|E:7|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|F:maj|F:maj|G:maj|G:maj|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|A:min|F:maj|F:maj|G:maj|G:maj|A:min|A:min|A:min|A:min|D:min|D:min|C:maj|F:maj|G:maj|E:7|A:min|A:min|D:min|D:min|C:maj|F:maj|G:maj|E:7|A:min|A:min|A:min|A:min|D:min|D:min|C:maj|F:maj|G:maj|E:7|A:min|A:min|D:min|D:min|C:maj|F:maj|G:maj|E:7|A:min|A:min|A:min|A:min|A:min|A:min|A:min|N|N|N
18,Kiss On My List,Daryl Hall & John Oates,1981-01-31,N|N|N|C:maj|G:maj/4|A:min/b3|G:maj/4|C:min7|C:min7|F:maj|F:maj|C:maj|C:maj|C:maj|C:min|C:min|F:min|F:min|Ab:maj|Bb:maj|C:maj(9)|C:maj(9)|C:min|C:min|F:min|F:min|Ab:maj|Bb:maj|C:maj(9)|C:maj(9)|F:sus2|F:min|G:min7/5|F:min9|G:min7/5|F:min9|G:min7/5|F:min9|F:maj/2|G:maj|C:maj|G:maj/4|A:min/b3|G:maj/4|C:min7|C:min7|F:maj|F:maj|C:maj|C:maj|C:maj|G:maj/4|A:min/b3|G:maj/4|C:min7|C:min7|F:maj|F:maj|C:maj|C:maj|C:min|C:min|F:min|F:min|Ab:maj|Bb:maj|C:maj(9)|C:maj(9)|C:min|C:min|F:min|F:min|Ab:maj|Bb:maj|C:maj(9)|C:maj(9)|F:sus2|F:min|G:min7/5|F:min9|G:min7/5|F:min9|G:min7/5|F:min9|F:maj/2|G:maj|C:maj|G:maj/4|A:min/b3|G:maj/4|C:min7|C:min7|F:maj|F:maj|C:maj|C:maj|C:maj|G:maj/4|G:maj/4|F:maj|F:maj|A:hdim7/b5|A:hdim7/b5|D:min7|G:11|G:11|C:maj|G:maj/4|A:min/b3|G:maj/4|C:min7|C:min7|F:maj|F:maj|C:maj|C:maj|C:maj|G:maj/4|A:min/b3|G:maj/4|C:min7|C:min7|F:maj|F:maj|C:maj|C:maj|C:maj|G:maj/4|A:min/b3|G:maj/4|C:min7|C:min7|F:maj|F:maj|C:maj|C:maj|C:maj|C:maj|G:maj/4|A:min/b3|G:maj/4|C:min7|C:min7|F:maj|F:maj|N
19,Here's Some Love,Tanya Tucker,1976-10-09,N|Bb:min|Eb:min|Gb:maj6|Ab:maj|Ab:maj|Db:maj|Db:maj|Gb:maj/5|Ab:maj|Db:maj/5|Db:maj|Gb:maj/5|Ab:maj|Gb:maj/2|Ab:maj|Db:maj|Gb:maj/5|Ab:maj|Db:maj/5|Bb:min|Bb:min/b7|Gb:maj|Ab:maj|Gb:maj|Db:maj|Ab:maj|Db:maj|Db:7|Gb:maj|Db:maj|Ab:maj|Gb:maj|Db:maj|Db:maj|Bb:min|Eb:min|Gb:maj6|Ab:maj|Ab:maj|Db:maj|Db:maj|Gb:maj/5|Ab:maj|Db:maj/5|Db:maj|Gb:maj/5|Ab:maj|Gb:maj/2|Ab:maj|Db:maj|Gb:maj/5|Ab:maj|Db:maj/5|Bb:min|Bb:min/b7|Gb:maj|Ab:maj|Gb:maj|Db:maj|Ab:maj|Db:maj|Db:7|Gb:maj|Db:maj|Ab:maj|Gb:maj|Bb:min|Ab:maj|Gb:maj|Db:maj|Ab:maj|Db:maj|Db:7|Db:7|Gb:maj|Db:maj|Ab:maj|Gb:maj|Db:maj|Db:maj|N
21,Just Can't Wait,The J. Geils Band,1980-08-02,N|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|D:maj|G:maj|D:maj|C:maj|E:min|G:maj|D:maj|C:maj|E:min|A:min|B:min|E:min|E:min|A:min|B:min|C:maj|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|C:maj|E:min|G:maj|D:maj|C:maj|E:min|A:min|B:min|E:min|E:min|A:min|B:min|C:maj|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D#:dim|E:min|D:maj|E:min|D:maj|C:maj|E:min|D:maj|E:min|D:maj|C:maj|C:maj|C:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|D:maj|A:min|B:min|E:min|E:min|A:min|B:min|C:maj|D:maj|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|G:maj|D:maj|G:maj/5|D:maj|C:maj|D:maj|G:maj/5|D:maj|D:maj|G:maj|C:maj|G:maj|C:maj|G:maj|C:maj|G:maj|G:maj|N|N|N
