id,title,artist,chart_date,chords
3,I Don't Mind,James Brown,1961-07-03,N|N|N|vi|vi|I|I|vi|vi|I|I|vi|vi|I|I|vi|vi|I|I|vi|vi|I|I|IV|IV|II|II|V|V|I|I|VI|VI|I|I|VI|VI|I|I|IV|IV|II|II|V|V|I|I|I|vi|vi|I|I|vi|vi|I|I|IV|IV|II|II|V|V|I|I|I|VI|VI|I|I|VI|VI|I|I|IV|IV|II|II|V|V|I|I|I|vi|vi|I|I|vi|vi|I|I|vi|vi|N|N|N
4,You've Got A Friend,"Roberta Flack,Donny Hathaway",1971-08-07,N|N|N|I|IV|I|X|III7|III7|vi|III7|III7|vi|III7|vi|III7|vi|ii7|V7|I|I|X|III7|vi|III7|vi|III7|vi|ii7|iii7|V7|V|I|I7|IV|IV|I|I|V7|V7|I|Imaj7|IV|bVII|IV|IVmaj7|iii7|ii7|I|bVII|IV|I|I|IV|bVII7|vi7|ii7|V7|V|I|I7|IV|IV|I|I|V7|V7|I|Imaj7|IV|bVII|IV|IVmaj7|iii7|ii7|ii7|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|IV|N
6,The Rose,Bette Midler,1980-08-02,N|X|X|X|X|I|V|IV|V|I|I|V|IV|V|I|I|X|IV|IV|V7|I|V|IV|V|I|I|I|V|IV|V|I|I|V|IV|V|I|iii|vi|VI|IV|V|I|V|IV|V|I|I|I|V|IV|V|I|I|V|IV|V|I|iii|vi|IV|V|I|V|IV|V|I|I|I|I|I|N|N|N
10,An Innocent Man,Billy Joel,1984-03-24,N|I|I|I|I|I|I|I|ii|ii|IV|V|V|I|I|I|ii|ii|IV|V|V|I|v7|I|bVII|IV|V|I|I|ii|ii|IV|V|V|I|I|I|ii|ii|IV|V|V|V|I|IV|I|I|IV|V|I|IV|I|I|ii7|I|bVII|IV|IV|bVII|IV|bVII|IV|IV|V|V|V|I|I|I|I|I|I|I|ii|ii|IV|V|V|I|I|I|ii|ii|IV|V|V|I|v7|I|bVII|IV|V|I|I|ii|ii|IV|V|V|I|I|I|ii|ii|IV|V|V|V|I|IV|I|I|IV|V|I|IV|I|I|ii7|I|bVII|IV|IV|bVII|IV|bVII|IV|IV|V|V|I|IV|I|I|IV|V|I|IV|I|I|ii7|I|v7|I|bVII|IV|V|N|I|I|ii|ii|IV|V|V|I|I|I|ii|ii|IV|V|V|V|I|IV|I|I|IV|V|I|IV|I|I|ii7|I|bVII|IV|IV|bVII|IV|bVII|IV|IV|V|V|I|IV|I|I|IV|V|I|IV|I|I|ii7|I|V|V|V|I|I|I|I|I|N|N|N
12,Lookin' For Love,Johnny Lee,1980-11-15,N|ii|iii|IV|V|ii|iii|IV|V|V|V|IV|IV|I|I|IV|I|V|V|IV|IV|I|I|IV|I|V|V|V|V|I|I|iii|iii|IV|IV|ii|III|IV|V|I|I|iii|iii|IV|ii|V|I|I|IV|IV|I|I|IV|I|V|V|IV|IV|I|I|IV|I|V|V|V|V|I|I|iii|iii|IV|IV|ii|III|IV|V|I|I|iii|iii|IV|ii|V|I|I|IV|IV|ii|iii|IV|V|V|V|I|I|iii|iii|IV|IV|ii|III|IV|V|I|I|iii|iii|IV|ii|V|I|I|iii|iii|IV|IV|ii|III|IV|V|I|I|iii|iii|IV|ii|V|I|I|I|N
15,Last Child,Aerosmith,1976-08-07,N|N|N|bvii|bvii|bIII7|bIII7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|IV7|IV7|IV7|IV7|I7|I7|bVII|IV|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|IV7|IV7|IV7|IV7|I7|I7|bVII|IV|I7|I7|I7|I7|I7|I7|I7|I7|I7|bVII|IV|I7|I7|bVII|IV|IV|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|N|N
16,She Bop,Cyndi Lauper,1984-07-28,N|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|VI|VI|VII|VII|i|i|i|i|i|i|i|i|i|i|i|i|VI|VI|VII|VII|i|i|i|i|iv|iv|III|VI|VII|V7|i|i|iv|iv|III|VI|VII|V7|i|i|i|i|i|i|i|i|i|i|i|i|VI|VI|VII|VII|i|i|i|i|i|i|i|i|i|i|i|i|VI|VI|VII|VII|i|i|i|i|iv|iv|III|VI|VII|V7|i|i|iv|iv|III|VI|VII|V7|i|i|i|i|iv|iv|III|VI|VII|V7|i|i|iv|iv|III|VI|VII|V7|i|i|i|i|i|i|i|N|N|N
18,Kiss On My List,Daryl Hall & John Oates,1981-01-31,N|N|N|I|V|vi|V|i7|i7|IV|IV|I|I|I|i|i|iv|iv|bVI|bVII|I|I|i|i|iv|iv|bVI|bVII|I|I|X|iv|v7|iv7|v7|iv7|v7|iv7|IV|V|I|V|vi|V|i7|i7|IV|IV|I|I|I|V|vi|V|i7|i7|IV|IV|I|I|i|i|iv|iv|bVI|bVII|I|I|i|i|iv|iv|bVI|bVII|I|I|X|iv|v7|iv7|v7|iv7|v7|iv7|IV|V|I|V|vi|V|i7|i7|IV|IV|I|I|I|V|V|IV|IV|X|X|ii7|V7|V7|I|V|vi|V|i7|i7|IV|IV|I|I|I|V|vi|V|i7|i7|IV|IV|I|I|I|V|vi|V|i7|i7|IV|IV|I|I|I|I|V|vi|V|i7|i7|IV|IV|N
19,Here's Some Love,Tanya Tucker,1976-10-09,N|vi|ii|IV|V|V|I|I|IV|V|I|I|IV|V|IV|V|I|IV|V|I|vi|vi|IV|V|IV|I|V|I|I7|IV|I|V|IV|I|I|vi|ii|IV|V|V|I|I|IV|V|I|I|IV|V|IV|V|I|IV|V|I|vi|vi|IV|V|IV|I|V|I|I7|IV|I|V|IV|vi|V|IV|I|V|I|I7|I7|IV|I|V|IV|I|I|N
21,Just Can't Wait,The J. Geils Band,1980-08-02,N|I|V|I|V|IV|V|I|V|I|V|I|V|IV|V|I|V|I|V|I|V|IV|V|I|V|I|V|I|V|IV|V|I|V|V|I|V|IV|vi|I|V|IV|vi|ii|iii|vi|vi|ii|iii|IV|V|I|V|I|V|IV|V|I|V|I|V|I|V|IV|V|I|V|I|V|IV|vi|I|V|IV|vi|ii|iii|vi|vi|ii|iii|IV|V|I|V|I|V|IV|V|I|V|I|V|I|V|IV|V|I|X|vi|V|vi|V|IV|vi|V|vi|V|IV|IV|IV|I|V|I|V|IV|V|I|V|I|V|I|V|IV|V|I|V|I|V|I|V|IV|V|I|V|I|V|I|V|IV|V|I|V|V|ii|iii|vi|vi|ii|iii|IV|V|V|I|V|I|V|IV|V|I|V|I|V|I|V|IV|V|I|V|I|V|I|V|IV|V|I|V|I|V|I|V|IV|V|I|V|I|V|I|V|IV|V|I|V|I|V|I|V|IV|V|I|V|V|I|IV|I|IV|I|IV|I|I|N|N|N
