row,col,r,g,b
0,0,20,18,19
0,1,18,17,15
0,2,20,19,17
0,3,23,22,20
0,4,23,22,20
0,5,47,27,20
0,6,44,27,17
0,7,66,47,32
0,8,40,26,15
0,9,70,59,55
0,10,150,101,58
0,11,113,68,37
0,12,120,70,35
0,13,122,72,35
0,14,139,89,56
0,15,155,110,79
0,16,135,94,64
0,17,125,80,51
0,18,134,88,54
0,19,132,85,59
1,0,11,9,12
1,1,14,13,11
1,2,14,13,9
1,3,14,14,14
1,4,20,19,17
1,5,52,34,22
1,6,156,103,97
1,7,205,175,147
1,8,56,42,29
1,9,29,19,10
1,10,132,79,37
1,11,142,87,46
1,12,101,75,48
1,13,151,90,43
1,14,160,99,45
1,15,192,130,79
1,16,216,153,99
1,17,192,128,80
1,18,69,43,26
1,19,129,79,46
2,0,3,0,2
2,1,18,9,10
2,2,16,12,9
2,3,34,26,15
2,4,86,65,62
2,5,8,4,1
2,6,188,111,105
2,7,196,170,143
2,8,77,53,51
2,9,24,15,8
2,10,109,65,28
2,11,113,65,27
2,12,123,71,32
2,13,106,61,30
2,14,103,57,23
2,15,248,133,88
2,16,62,62,70
2,17,120,91,75
2,18,216,172,123
2,19,255,165,98
3,0,31,26,22
3,1,2,1,0
3,2,2,0,1
3,3,5,4,2
3,4,10,6,5
3,5,94,41,9
3,6,110,54,19
3,7,117,55,14
3,8,139,73,25
3,9,16,11,5
3,10,112,68,31
3,11,117,71,38
3,12,132,79,37
3,13,147,90,45
3,14,27,27,37
3,15,158,41,24
3,16,197,139,66
3,17,169,42,25
3,18,255,137,94
3,19,58,48,47
4,0,23,19,16
4,1,16,16,16
4,2,38,19,13
4,3,6,5,3
4,4,4,3,1
4,5,112,57,18
4,6,131,87,52
4,7,106,52,18
4,8,113,53,19
4,9,145,105,70
4,10,160,99,55
4,11,74,58,43
4,12,112,64,28
4,13,26,20,24
4,14,58,15,9
4,15,136,33,18
4,16,191,56,27
4,17,213,59,35
4,18,35,17,13
4,19,105,108,127
5,0,17,16,12
5,1,113,78,50
5,2,8,4,3
5,3,37,18,3
5,4,8,4,1
5,5,50,27,9
5,6,114,77,51
5,7,99,69,35
5,8,155,120,78
5,9,88,57,37
5,10,60,30,22
5,11,49,23,10
5,12,169,48,31
5,13,154,34,17
5,14,99,20,13
5,15,176,54,31
5,16,208,59,35
5,17,236,77,48
5,18,111,18,13
5,19,132,48,38
6,0,38,20,10
6,1,41,31,29
6,2,140,104,70
6,3,6,5,1
6,4,10,6,5
6,5,58,21,2
6,6,107,77,51
6,7,124,104,69
6,8,96,65,37
6,9,121,88,55
6,10,139,99,63
6,11,198,147,82
6,12,137,36,16
6,13,115,36,19
6,14,159,106,56
6,15,159,116,71
6,16,166,123,80
6,17,153,110,65
6,18,139,95,58
6,19,138,98,62
7,0,4,4,4
7,1,35,16,10
7,2,33,32,38
7,3,34,33,38
7,4,27,25,28
7,5,53,21,6
7,6,101,81,48
7,7,110,94,71
7,8,69,50,35
7,9,92,69,38
7,10,101,70,39
7,11,217,171,112
7,12,154,110,65
7,13,161,121,72
7,14,162,121,67
7,15,126,87,48
7,16,139,99,64
7,17,143,105,68
7,18,153,114,73
7,19,149,108,64
8,0,26,27,31
8,1,22,11,7
8,2,24,25,30
8,3,20,22,21
8,4,8,4,1
8,5,65,30,8
8,6,103,68,48
8,7,118,90,76
