id,title,artist,chart_date,chords
19,Here's Some Love,Tanya Tucker,1976-10-09,vi|ii|IV|V|I|IV|V|I|IV|V|IV|V|I|IV|V|I|vi|IV|V|IV|I|V|I|IV|I|V|IV|I|vi|ii|IV|V|I|IV|V|I|IV|V|IV|V|I|IV|V|I|vi|IV|V|IV|I|V|I|IV|I|V|IV|vi|V|IV|I|V|I|IV|I|V|IV|I
29,The Joker,Steve Miller Band,1973-11-10,I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV
37,Foggy Mountain Breakdown,Flatt & Scruggs,1968-04-13,I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I
44,Some Like It Hot,The Power Station,1985-04-06,i|VI|VII|i|VI|VII|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|VII|i|VI|VII|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|VII|i|VI|VII|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i
46,I'll Take You There,The Staple Singers,1972-07-01,I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV
50,Love Me Do,The Beatles,1964-07-11,I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|V|IV|I|V|IV|I|IV|I|IV|I|IV|I|IV|I|V|IV|I|V|IV|I|V|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I
54,Last Kiss,J. Frank Wilson & The Cavaliers,1964-09-05,I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V
55,Smoking Gun,The Robert Cray Band,1987-03-07,i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|i
66,Do You Love Me,The Contours,1988-06-18,I|IV|V|vi|V|I|IV|V|I|IV|V|I|IV|V|IV|iv|V|I|IV|V|I|IV|V|I|IV|V|I|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|IV|iv|V|I|IV|V|I|IV|V|I|IV|V|I|V|I|IV|V|I|IV|V|I|IV|V|I|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|V|I|IV|V|I|IV|V|I|IV|V|I|V
72,Get Together,The Youngbloods,1969-09-06,I|bVII|I|bVII|I|bVII|I|bVII|I|bVII|IV|V|I|IV|V|I|bVII|I|bVII|I|bVII|IV|V|I|IV|V|I|IV|V|I|IV|V|I|bVII|I|bVII|I|bVII|IV|V|I|IV|V|I|bVII|I|bVII|I|bVII|I|bVII|I|bVII|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I
